Pic_File_Name,Date,Time,Gage_height_cm,Catwalk_pressure_psi,WVWA_Pressure_psi,Corrected_pressure_psi,VT_Pressure_psi,Notes,
10_Jun_19,6/10/2019,11:14,22.5,14.252,13.894,0.358,0.409,NA,CHECK EDT
24_Jun_19,6/24/2019,12:56,15,14.104,13.85,0.254,0.296,NA,CHECK EDT
R_Script,6/27/2019,15:49,14.9,14.231,13.984,0.247,0.291,NA,CHECK EDT
8_Jul_19,7/8/2019,13:48,12,14.062,13.904,0.158,0.253,NA,CHECK EDT
22_Jul_19,7/22/2019,14:19,10,14.046,13.887,0.159,0.232,NA,CHECK EDT
12_Aug_19,8/12/2019,13:21,12.5,14.112,13.925,0.187,0.256,NA,CHECK EDT
28_Aug_19,8/28/2019,16:24,10,14.02,13.874,0.146,0.221,NA,CHECK EDT
27_Sep_19,9/27/2019,14:53,8,14.069,13.929,0.14,0.196,NA,CHECK EDT
30_Oct_19,10/30/2019,12:56,9,14.137,13.978,0.159,0.222,NA,
6_Dec_19,12/6/2019,12:26,13.5,14.166,13.95,0.216,0.225,Weir_obstructed_by_leaves_and_branches,
29_Feb_20,2/29/2020,11:30,10.5,NA,NA,NA,NA,No_data_as_of_02_Mar_2020,
,,,,,,,,Weir_Washout,
,,,,,,,,Pulled_Weir_Instruments,
,,,,,,,,Replaced_Weir_Instruments,
2_Sep_20,9/2/2020,13:08,15,,,,0.2,Pre_Rearranged_Weir_Instruments,IN EST
2_Sep_20,9/2/2020,,,,,,,Rearranged_Weir_Instruments,
2_Sep_20,9/2/2020,13:41,15,,,,0.11,Post_Rearranged_Weir_Instruments,IN EST
